istat_code,municipality_name,population_2025,population_0_14_2025,population_15_64_2025,population_65_plus_2025,population_2019,population_0_14_2019,population_15_64_2019,population_65_plus_2019,population_change_absolute,population_change_percent,share_65_plus_2019,share_65_plus_2025,population_comparability
047002,Agliana,17946,2253,11313,4380,17846.0,2530.0,11273.0,4043.0,100.0,0.5603496581867086,22.654936680488625,24.406552992310264,comparable_on_2025_geography
005001,Agliano Terme,1528,155,887,486,1589.0,184.0,925.0,480.0,-61.0,-3.838892385147892,30.207677784770297,31.80628272251309,comparable_on_2025_geography
001001,Agliè,2585,290,1579,716,2634.0,332.0,1590.0,712.0,-49.0,-1.8602885345482156,27.031131359149583,27.698259187620888,comparable_on_2025_geography
090062,Aglientu,1195,113,705,377,1240.0,106.0,772.0,362.0,-45.0,-3.6290322580645165,29.193548387096772,31.548117154811717,comparable_on_2025_geography
028002,Agna,3148,347,2016,785,3244.0,448.0,2054.0,742.0,-96.0,-2.9593094944512948,22.872996300863132,24.93646759847522,comparable_on_2025_geography
019002,Agnadello,3931,525,2661,745,3896.0,596.0,2628.0,672.0,35.0,0.8983572895277206,17.248459958932237,18.951920630882725,comparable_on_2025_geography
080002,Agnana Calabra,456,40,278,138,512.0,54.0,329.0,129.0,-56.0,-10.9375,25.1953125,30.263157894736842,comparable_on_2025_geography
094002,Agnone,4571,424,2749,1398,4953.0,494.0,3126.0,1333.0,-382.0,-7.712497476277004,26.91298203109227,30.584117260993217,comparable_on_2025_geography
017003,Agnosine,1639,166,1039,434,1695.0,191.0,1093.0,411.0,-56.0,-3.303834808259587,24.24778761061947,26.47956070774863,comparable_on_2025_geography
025001,Agordo,4019,420,2455,1144,4132.0,452.0,2616.0,1064.0,-113.0,-2.734753146176186,25.75024201355276,28.464792236874843,comparable_on_2025_geography
058002,Agosta,1675,198,1036,441,1713.0,228.0,1093.0,392.0,-38.0,-2.2183304144775247,22.883829538820784,26.328358208955223,comparable_on_2025_geography
012001,Agra,381,56,219,106,386.0,55.0,225.0,106.0,-5.0,-1.2953367875647668,27.461139896373055,27.821522309711288,comparable_on_2025_geography
108001,Agrate Brianza,15809,2030,10363,3416,15216.0,2283.0,9781.0,3152.0,593.0,3.8972134595162986,20.715036803364878,21.607944841545955,comparable_on_2025_geography
003001,Agrate Conturbia,1584,166,1044,374,1546.0,197.0,1014.0,335.0,38.0,2.457956015523933,21.66882276843467,23.61111111111111,comparable_on_2025_geography
084001,Agrigento,55252,6460,35138,13654,58174.0,7249.0,38483.0,12442.0,-2922.0,-5.022862447141335,21.38756145357032,24.712227611670166,comparable_on_2025_geography
065002,Agropoli,21311,2493,13659,5159,21777.0,2787.0,14448.0,4542.0,-466.0,-2.1398723423795745,20.856867337098777,24.208155412697668,comparable_on_2025_geography
042001,Agugliano,4637,510,2999,1128,4781.0,653.0,3129.0,999.0,-144.0,-3.0119221920100396,20.89521020706965,24.326072891956006,comparable_on_2025_geography
