isil,previous_name_original,previous_name_normalized
IT-MO0211,Biblioteca del Museo civico archeologico etnologico di Modena,Biblioteca del Museo civico archeologico etnologico di Modena
IT-MO0212,Biblioteca dei ragazzi Il falco magico,Biblioteca dei ragazzi Il falco magico
IT-MO0213,Biblioteca comunale Alessandra Lori,Biblioteca comunale Alessandra Lori
IT-MO0213,Biblioteca comunale Alessandra Lori di Montale Rangone,Biblioteca comunale Alessandra Lori di Montale Rangone
IT-MO0218,Biblioteca Mulino. Sezione ragazzi,Biblioteca Mulino. Sezione ragazzi
IT-MO0219,Biblioteca del Multicentro educativo di Modena Sergio Neri - MEMO,Biblioteca del Multicentro educativo di Modena Sergio Neri - MEMO
IT-MO0220,Biblioteca del Dipartimento di scienze giuridiche dell'Università degli studi di Modena e Reggio Emilia. Centro documentazione e ricerche sulla comunità europee,Biblioteca del Dipartimento di scienze giuridiche dell'Università degli studi di Modena e Reggio Emilia. Centro documentazione e ricerche sulla comunità europee
IT-MO0220,Biblioteca dell'Area giuridica dell'Università degli studi di Modena e Reggio Emilia. Centro documentazione e ricerche sulla comunità europee,Biblioteca dell'Area giuridica dell'Università degli studi di Modena e Reggio Emilia. Centro documentazione e ricerche sulla comunità europee
IT-MO0221,Biblioteca del Dipartimento di scienze del linguaggio e della cultura dell'Università degli studi di Modena e Reggio Emilia,Biblioteca del Dipartimento di scienze del linguaggio e della cultura dell'Università degli studi di Modena e Reggio Emilia
IT-MO0221,Biblioteca della Facoltà di lettere e filosofia dell'Università degli studi di Modena e Reggio Emilia,Biblioteca della Facoltà di lettere e filosofia dell'Università degli studi di Modena e Reggio Emilia
IT-MO0224,Biblioteca dell'Istituto Superiore di Scienze Religiose B.C. Ferrini,Biblioteca dell'Istituto Superiore di Scienze Religiose B.C. Ferrini
IT-MO0224,Biblioteca Diocesana,Biblioteca Diocesana
IT-MO0236,Biblioteca della Fondazione Fossoli,Biblioteca della Fondazione Fossoli
IT-MO0237,"Biblioteca Astronomica del Planetario di Modena ""Pietro Tacchini""","Biblioteca Astronomica del Planetario di Modena ""Pietro Tacchini"""
IT-MO0237,Biblioteca astronomica del Planetario PietroTacchini,Biblioteca astronomica del Planetario PietroTacchini
IT-MS0001,Biblioteca civica A. Salucci - Fondo Spini,Biblioteca civica A. Salucci - Fondo Spini
IT-MS0001,Biblioteca civica Arturo Salucci,Biblioteca civica Arturo Salucci
IT-MS0006,Biblioteca del CAI,Biblioteca del CAI
IT-MS0013,Biblioteca comunale M. Vinciguerra,Biblioteca comunale M. Vinciguerra
IT-MS0018,Biblioteca comunale Alessandro Malaspina,Biblioteca comunale Alessandro Malaspina
IT-MS0018,Biblioteca comunale Emanuela Maucci,Biblioteca comunale Emanuela Maucci
IT-MS0027,Biblioteca del Seminario vescovile SS. Ambrogio e Carlo,Biblioteca del Seminario vescovile SS. Ambrogio e Carlo
IT-MS0038,Biblioteca del Convento S. Maria ad nives di Fivizzano,Biblioteca del Convento S. Maria ad nives di Fivizzano
IT-MS0048,Biblioteca del Centro lunigianese di studi giuridici,Biblioteca del Centro lunigianese di studi giuridici
IT-MS0059,Biblioteca del Centro documentazione per l'educazione sanitaria,Biblioteca del Centro documentazione per l'educazione sanitaria
IT-MS0061,Biblioteca della IMM Carrara SpA,Biblioteca della IMM Carrara SpA
IT-MT0011,Biblioteca comunale,Biblioteca comunale
IT-MT0019,Biblioteca comunale,Biblioteca comunale
IT-MT0020,Biblioteca Vescovile e Capitolare di Irsina,Biblioteca Vescovile e Capitolare di Irsina
IT-MT0024,Biblioteca Capitolare,Biblioteca Capitolare
IT-MT0040,Biblioteca comunale,Biblioteca comunale
IT-MT0069,Biblioteca dell'Archivio vescovile,Biblioteca dell'Archivio vescovile
IT-MT0072,Biblioteca comunale. Sezione esterna di Metaponto,Biblioteca comunale. Sezione esterna di Metaponto
IT-MT0073,Biblioteca comunale,Biblioteca comunale
IT-MT0079,Biblioteca del Museo nazionale Domenico Ridola,Biblioteca del Museo nazionale Domenico Ridola
IT-MT0081,"Biblioteca di storia dell'arte della Soprintendenza per il patrimonio storico, artistico e demoetnoantropologico per la Basilicata","Biblioteca di storia dell'arte della Soprintendenza per il patrimonio storico, artistico e demoetnoantropologico per la Basilicata"
IT-MT0081,Biblioteca specializzata di storia dell'arte del Polo museale regionale della Basilicata,Biblioteca specializzata di storia dell'arte del Polo museale regionale della Basilicata
IT-MT0082,"Biblioteca della Soprintendenza per il patrimonio storico, artistico e demoetnoantropologico della Basilicata. Sede di Matera","Biblioteca della Soprintendenza per il patrimonio storico, artistico e demoetnoantropologico della Basilicata. Sede di Matera"
IT-NA0007,Biblioteca comunale popolare di Capri,Biblioteca comunale popolare di Capri
IT-NA0013,Archivio storico Biblioteca del Clero della Chiesa di Gesù e Maria,Archivio storico Biblioteca del Clero della Chiesa di Gesù e Maria
IT-NA0014,Biblioteca dell'Istituto salesiano San Michele,Biblioteca dell'Istituto salesiano San Michele
IT-NA0017,Biblioteca dell'Istituto Nazionale di Geofisica e Vulcanologia - INGV - Osservatorio Vesuviano,Biblioteca dell'Istituto Nazionale di Geofisica e Vulcanologia - INGV - Osservatorio Vesuviano
IT-NA0020,Biblioteca comunale,Biblioteca comunale
IT-NA0022,Biblioteca Antoniana,Biblioteca Antoniana
IT-NA0029,Biblioteca degli Istituti giuridici della Facoltà di giurisprudenza dell'Università degli studi di Napoli Federico II,Biblioteca degli Istituti giuridici della Facoltà di giurisprudenza dell'Università degli studi di Napoli Federico II
IT-NA0032,Biblioteca comunale Antonio Labriola,Biblioteca comunale Antonio Labriola
IT-NA0032,Biblioteca comunale Antonio Labriola,Biblioteca comunale Antonio Labriola
IT-NA0035,Biblioteca dell'Istituto di anatomia umana normale della Facoltà di medicina e chirurgia dell'Università degli studi di Napoli Federico II,Biblioteca dell'Istituto di anatomia umana normale della Facoltà di medicina e chirurgia dell'Università degli studi di Napoli Federico II
IT-NA0036,Biblioteca del Dipartimento di scienza ed ingegneria dello spazio Feliciangelo Napolitano dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di scienza ed ingegneria dello spazio Feliciangelo Napolitano dell'Università degli studi di Napoli Federico II
IT-NA0039,Biblioteca dell'Istituto Bianchi,Biblioteca dell'Istituto Bianchi
IT-NA0039,Biblioteca padre Vincenzo Cilento,Biblioteca padre Vincenzo Cilento
IT-NA0040,Biblioteca dell'ARCA,Biblioteca dell'ARCA
IT-NA0053,Biblioteca del PIME,Biblioteca del PIME
IT-NA0058,Biblioteca parrocchiale di S. Maria della Sanità,Biblioteca parrocchiale di S. Maria della Sanità
IT-NA0063,Biblioteca del Centro di documentazione cattolica,Biblioteca del Centro di documentazione cattolica
IT-NA0063,Biblioteca del Centro di informazione cattolica padre Giovanni Aromatisi,Biblioteca del Centro di informazione cattolica padre Giovanni Aromatisi
IT-NA0063,Biblioteca della Comunità religiosa dei Padri Gesuiti,Biblioteca della Comunità religiosa dei Padri Gesuiti
IT-NA0063,Biblioteca popolare P. Aromatisi del Centro di informazione cattolica,Biblioteca popolare P. Aromatisi del Centro di informazione cattolica
IT-NA0065,Biblioteca dello Studentato teologico dei Padri Passionisti,Biblioteca dello Studentato teologico dei Padri Passionisti
IT-NA0070,Biblioteca della Regia Università degli Studi,Biblioteca della Regia Università degli Studi
IT-NA0071,Biblioteca U. Ricci del Circolo della stampa,Biblioteca U. Ricci del Circolo della stampa
IT-NA0075,Complesso monumentale dei Girolamini,Complesso monumentale dei Girolamini
IT-NA0079,Biblioteca Reale,Biblioteca Reale
IT-NA0079,Biblioteca Reale Borbonica,Biblioteca Reale Borbonica
IT-NA0083,Biblioteca Giustino Fortunato,Biblioteca Giustino Fortunato
IT-NA0083,Biblioteca Giustino Fortunato,Biblioteca Giustino Fortunato
IT-NA0085,Sindacato Napoletano Giornalisti Corrispondenti,Sindacato Napoletano Giornalisti Corrispondenti
IT-NA0095,Biblioteca della Soprintendenza archivistica per la Campania,Biblioteca della Soprintendenza archivistica per la Campania
IT-NA0097,Biblioteca della Deputazione napoletana di storia patria,Biblioteca della Deputazione napoletana di storia patria
IT-NA0098,Biblioteca del Circolo degli aspiranti naturalisti,Biblioteca del Circolo degli aspiranti naturalisti
IT-NA0103,Biblioteca dell'Istituto nazionale per lo studio e la cura dei tumori Fondazione senatore Giovanni Pascale,Biblioteca dell'Istituto nazionale per lo studio e la cura dei tumori Fondazione senatore Giovanni Pascale
IT-NA0105,Biblioteca di area umanistica,Biblioteca di area umanistica
IT-NA0106,Biblioteca della Facoltà di economia dell'Università degli studi di Napoli Federico II,Biblioteca della Facoltà di economia dell'Università degli studi di Napoli Federico II
IT-NA0106,Biblioteca di Area Economia dell'Università degli studi di Napoli Federico II,Biblioteca di Area Economia dell'Università degli studi di Napoli Federico II
IT-NA0107,Biblioteca centrale Facoltà di Architettura,Biblioteca centrale Facoltà di Architettura
IT-NA0107,Biblioteca della Facoltà di architettura dell'Università degli studi di Napoli Federico II,Biblioteca della Facoltà di architettura dell'Università degli studi di Napoli Federico II
IT-NA0108,Biblioteca centrale della Facoltà di ingegneria Ferdinando Gasparini dell'Università degli studi di Napoli Federico II,Biblioteca centrale della Facoltà di ingegneria Ferdinando Gasparini dell'Università degli studi di Napoli Federico II
IT-NA0108,Biblioteca di Area Ingegneria dell'Università degli studi di Napoli Federico II,Biblioteca di Area Ingegneria dell'Università degli studi di Napoli Federico II
IT-NA0109,Biblioteca dell'Istituto di clinica ortopedica e traumatologica dell'apparato locomotore della Facoltà di medicina e chirurgia della Seconda Università degli studi di Napoli,Biblioteca dell'Istituto di clinica ortopedica e traumatologica dell'apparato locomotore della Facoltà di medicina e chirurgia della Seconda Università degli studi di Napoli
IT-NA0110,Biblioteca dell'Istituto universitario Suor Orsola Benincasa,Biblioteca dell'Istituto universitario Suor Orsola Benincasa
IT-NA0112,Biblioteca centrale dell'Università degli studi di Napoli Parthenope,Biblioteca centrale dell'Università degli studi di Napoli Parthenope
IT-NA0113,Biblioteca dell'Istituto di clinica dermosifilopatica della Facoltà di medicina e chirurgia della Seconda Università degli studi di Napoli,Biblioteca dell'Istituto di clinica dermosifilopatica della Facoltà di medicina e chirurgia della Seconda Università degli studi di Napoli
IT-NA0114,Biblioteca dell'Istituto di scienze neurologiche della Facoltà di medicina e chirurgia della Seconda Università degli studi di Napoli,Biblioteca dell'Istituto di scienze neurologiche della Facoltà di medicina e chirurgia della Seconda Università degli studi di Napoli
IT-NA0115,Biblioteca della CCIAA ,Biblioteca della CCIAA
IT-NA0116,Biblioteca dell'Osservatorio Astronomico di Capodimonte,Biblioteca dell'Osservatorio Astronomico di Capodimonte
IT-NA0126,Biblioteca Vincenzo Franciosi del Dipartimento di Ingegneria Strutturale dell'Università degli studi di Napoli Federico II,Biblioteca Vincenzo Franciosi del Dipartimento di Ingegneria Strutturale dell'Università degli studi di Napoli Federico II
IT-NA0137,Biblioteca di Igiene Medicina preventiva e Sanità pubblica Bruno Angelillo,Biblioteca di Igiene Medicina preventiva e Sanità pubblica Bruno Angelillo
IT-NA0139,Biblioteca del Dipartimento di ingegneria geotecnica. Sezione di geologia applicata dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di ingegneria geotecnica. Sezione di geologia applicata dell'Università degli studi di Napoli Federico II
IT-NA0186,Biblioteca comunale di Pozzuoli,Biblioteca comunale di Pozzuoli
IT-NA0187,Biblioteca del Santuario di S. Gennaro alla Solfatara di Pozzuoli,Biblioteca del Santuario di S. Gennaro alla Solfatara di Pozzuoli
IT-NA0189,Biblioteca del Seminario vescovile,Biblioteca del Seminario vescovile
IT-NA0197,BIBLIOTECA DEL MUSEO CORREALE DI TERRANOVA,BIBLIOTECA DEL MUSEO CORREALE DI TERRANOVA
IT-NA0197,BIBLIOTECA DEL MUSEO CORREALE DI TERRANOVA,BIBLIOTECA DEL MUSEO CORREALE DI TERRANOVA
IT-NA0198,Biblioteca del Seminario arcivescovile,Biblioteca del Seminario arcivescovile
IT-NA0204,Biblioteca popolare S. Michele,Biblioteca popolare S. Michele
IT-NA0204,Biblioteca S. Michele,Biblioteca S. Michele
IT-NA0211,Biblioteca dell'IRTEMP,Biblioteca dell'IRTEMP
IT-NA0212,Biblioteca del CIB,Biblioteca del CIB
IT-NA0212,Biblioteca dell'Istituto di cibernetica,Biblioteca dell'Istituto di cibernetica
IT-NA0213,Biblioteca dell'ICMIB,Biblioteca dell'ICMIB
IT-NA0213,Biblioteca dell'Istituto di chimica di molecole di interesse biologico,Biblioteca dell'Istituto di chimica di molecole di interesse biologico
IT-NA0219,Biblioteca del Convento francescano di S. Vito dei Frati minori,Biblioteca del Convento francescano di S. Vito dei Frati minori
IT-NA0220,Biblioteca comunale Giulio Andreoli,Biblioteca comunale Giulio Andreoli
IT-NA0224,Biblioteca della SIOI. Sezione Campania,Biblioteca della SIOI. Sezione Campania
IT-NA0224,Centro di documentazione europea della SIOI. Sezione della Campania,Centro di documentazione europea della SIOI. Sezione della Campania
IT-NA0226,Biblioteca della Soprintendenza archeologica della Campania,Biblioteca della Soprintendenza archeologica della Campania
IT-NA0226,Biblioteca della Soprintendenza per i beni archeologici di Napoli,Biblioteca della Soprintendenza per i beni archeologici di Napoli
IT-NA0228,Biblioteca di Provincia,Biblioteca di Provincia
IT-NA0229,Biblioteca dell'Associazione culturale Italia-Urss,Biblioteca dell'Associazione culturale Italia-Urss
IT-NA0230,Biblioteca dell'ICSR Vera Lombardi,Biblioteca dell'ICSR Vera Lombardi
IT-NA0233,Biblioteca dell'ISVE,Biblioteca dell'ISVE
IT-NA0236,Biblioteca della Pontificia Facoltà teologica dell'Italia meridionale. Sezione S. Tommaso d'Aquino,Biblioteca della Pontificia Facoltà teologica dell'Italia meridionale. Sezione S. Tommaso d'Aquino
IT-NA0243,Biblioteca del Centro librario e bibliotecario per la diffusione della cultura Cristo Re,Biblioteca del Centro librario e bibliotecario per la diffusione della cultura Cristo Re
IT-NA0249,Biblioteca ed Emeroteca comunale,Biblioteca ed Emeroteca comunale
IT-NA0253,Biblioteca del Convento dei Padri minimi di S. Maria della Stella,Biblioteca del Convento dei Padri minimi di S. Maria della Stella
IT-NA0258,Biblioteca del mare di Napoli,Biblioteca del mare di Napoli
IT-NA0259,Biblioteca Fra' Landolfo Caracciolo dei Frati Minori Conventuali,Biblioteca Fra' Landolfo Caracciolo dei Frati Minori Conventuali
IT-NA0260,Biblioteca del Centro bibliografico francescano,Biblioteca del Centro bibliografico francescano
IT-NA0261,Biblioteca della Pontificia Facoltà teologica dell'Italia meridionale. Sezione S. Luigi,Biblioteca della Pontificia Facoltà teologica dell'Italia meridionale. Sezione S. Luigi
IT-NA0262,Biblioteca S. Alfonso,Biblioteca S. Alfonso
IT-NA0267,Biblioteca del Seminario Vescovile di Nola,Biblioteca del Seminario Vescovile di Nola
IT-NA0267,Biblioteca diocesana S. Paolino,Biblioteca diocesana S. Paolino
IT-NA0271,Biblioteca centrale della Facoltà di scienze politiche dell'Università degli studi di Napoli Federico II,Biblioteca centrale della Facoltà di scienze politiche dell'Università degli studi di Napoli Federico II
IT-NA0273,Biblioteca centrale di medicina e chirurgia,Biblioteca centrale di medicina e chirurgia
IT-NA0274,BIBLIOTECA CENTRALE FACOLTA' AGRARIA,BIBLIOTECA CENTRALE FACOLTA' AGRARIA
IT-NA0277,Biblioteca interdipartimentale di Scienze della terra geofisica e vulcanologia dell'Università degli studi di Napoli Federico II,Biblioteca interdipartimentale di Scienze della terra geofisica e vulcanologia dell'Università degli studi di Napoli Federico II
IT-NA0278,Biblioteca del Dipartimento di chimica dell'Università degli studi di Napoli Federico II ,Biblioteca del Dipartimento di chimica dell'Università degli studi di Napoli Federico II
IT-NA0279,Biblioteca del Dipartimento di Agraria dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di Agraria dell'Università degli studi di Napoli Federico II
IT-NA0279,Biblioteca del Dipartimento di economia e politica agraria dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di economia e politica agraria dell'Università degli studi di Napoli Federico II
IT-NA0279,Biblioteca della Sezione di economia e politica agraria dell'Università degli studi di Napoli Federico II,Biblioteca della Sezione di economia e politica agraria dell'Università degli studi di Napoli Federico II
IT-NA0280,Biblioteca del Dipartimento di ingegneria dei materiali e della produzione dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di ingegneria dei materiali e della produzione dell'Università degli studi di Napoli Federico II
IT-NA0284,Biblioteca del Dipartimento di matematica e applicazioni Renato Caccioppoli dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di matematica e applicazioni Renato Caccioppoli dell'Università degli studi di Napoli Federico II
IT-NA0284,Biblioteca dell'Istituto di Matematica della Facoltà di scienze matematiche fisiche e naturali dell'Università degli studi di Napoli Federico II,Biblioteca dell'Istituto di Matematica della Facoltà di scienze matematiche fisiche e naturali dell'Università degli studi di Napoli Federico II
IT-NA0286,Biblioteca Roberto Stroffolini,Biblioteca Roberto Stroffolini
IT-NA0287,Biblioteca del DETEC dell'Università degli studi di Napoli Federico II,Biblioteca del DETEC dell'Università degli studi di Napoli Federico II
IT-NA0287,Biblioteca del Dipartimento di energetica termofluidodinamica applicata e condizionamenti ambientali dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di energetica termofluidodinamica applicata e condizionamenti ambientali dell'Università degli studi di Napoli Federico II
IT-NA0292,"SiBA - Biblioteca ""Maurizio Taddei""","SiBA - Biblioteca ""Maurizio Taddei"""
IT-NA0298,Biblioteca comunale Gaetano Caporale e Mediateca,Biblioteca comunale Gaetano Caporale e Mediateca
IT-NA0300,Biblioteca comunale,Biblioteca comunale
IT-NA0304,Biblioteca della montagna. Club alpino italiano. Sezione di Napoli,Biblioteca della montagna. Club alpino italiano. Sezione di Napoli
IT-NA0305,Biblioteca pubblica Comunale Guido Dorso,Biblioteca pubblica Comunale Guido Dorso
IT-NA0306,Biblioteca comunale Francesco Flora,Biblioteca comunale Francesco Flora
IT-NA0307,Biblioteca Comunale,Biblioteca Comunale
IT-NA0307,Biblioteca Comunale,Biblioteca Comunale
IT-NA0307,Biblioteca Comunale,Biblioteca Comunale
IT-NA0311,Biblioteca Fondazione Circolo Artistico Politecnico,Biblioteca Fondazione Circolo Artistico Politecnico
IT-NA0312,Biblioteca dell'Istituto salesiano Sacro cuore,Biblioteca dell'Istituto salesiano Sacro cuore
IT-NA0316,Biblioteca dell'Istituto Mondragone,Biblioteca dell'Istituto Mondragone
IT-NA0317,Biblioteca comunale,Biblioteca comunale
IT-NA0319,Biblioteca del Convento Madonna dell'Arco,Biblioteca del Convento Madonna dell'Arco
IT-NA0322,Biblioteca Biagio Perrotta,Biblioteca Biagio Perrotta
IT-NA0333,Biblioteca del Centro di promozione scolastico e culturale,Biblioteca del Centro di promozione scolastico e culturale
IT-NA0335,Biblioteca del Dipartimento di sociologia Gino Germani dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di sociologia Gino Germani dell'Università degli studi di Napoli Federico II
IT-NA0335,Biblioteca della Facoltà di Sociologia dell'Università degli studi di Napoli Federico II,Biblioteca della Facoltà di Sociologia dell'Università degli studi di Napoli Federico II
IT-NA0338,"Biblioteca dell'Istituto di botanica della Facoltà di scienze matematiche, fisiche e naturali dell'Università degli studi di Napoli Federico II","Biblioteca dell'Istituto di botanica della Facoltà di scienze matematiche, fisiche e naturali dell'Università degli studi di Napoli Federico II"
IT-NA0340,Biblioteca del Dipartimento di chimica organica e biochimica dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di chimica organica e biochimica dell'Università degli studi di Napoli Federico II
IT-NA0340,Biblioteca Enzo Leone del Dipartimento di chimica organica e biologica dell'Università degli studi di Napoli Federico II,Biblioteca Enzo Leone del Dipartimento di chimica organica e biologica dell'Università degli studi di Napoli Federico II
IT-NA0343,Biblioteca del Dipartimento di diritto costituzionale italiano e comparato dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di diritto costituzionale italiano e comparato dell'Università degli studi di Napoli Federico II
IT-NA0344,Biblioteca del Dipartimento di diritto dell'economia dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di diritto dell'economia dell'Università degli studi di Napoli Federico II
IT-NA0349,Biblioteca del Dipartimento di fisiologia generale ed ambientale dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di fisiologia generale ed ambientale dell'Università degli studi di Napoli Federico II
IT-NA0351,"Biblioteca del Dipartimento di genetica, biologia generale e molecolare dell'Università degli studi di Napoli Federico II","Biblioteca del Dipartimento di genetica, biologia generale e molecolare dell'Università degli studi di Napoli Federico II"
IT-NA0352,Biblioteca del Dipartimento di ingegneria idraulica ed ambientale Giacomo Ippolito dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di ingegneria idraulica ed ambientale Giacomo Ippolito dell'Università degli studi di Napoli Federico II
IT-NA0353,Biblioteca del Dipartimento di ingegneria geotecnica dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di ingegneria geotecnica dell'Università degli studi di Napoli Federico II
IT-NA0354,Biblioteca area didattica di farmacologia,Biblioteca area didattica di farmacologia
IT-NA0354,Biblioteca Dipartimento di neuroscienze e della comunicazione inteumana,Biblioteca Dipartimento di neuroscienze e della comunicazione inteumana
IT-NA0357,Biblioteca Dipartimento di pediatria,Biblioteca Dipartimento di pediatria
IT-NA0359,Biblioteca del Dipartimento di progettazione aeronautica - Via Claudio dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di progettazione aeronautica - Via Claudio dell'Università degli studi di Napoli Federico II
IT-NA0360,Biblioteca del Dipartimento di progettazione aeronautica - Piazzale Tecchio dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di progettazione aeronautica - Piazzale Tecchio dell'Università degli studi di Napoli Federico II
IT-NA0363,Biblioteca del Dipartimento di scienze zootecniche e ispezione degli alimenti. Sezione di ispezione degli alimenti d'origine animale dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di scienze zootecniche e ispezione degli alimenti. Sezione di ispezione degli alimenti d'origine animale dell'Università degli studi di Napoli Federico II
IT-NA0365,Biblioteca del Dipartimento di scienze economiche e sociali dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di scienze economiche e sociali dell'Università degli studi di Napoli Federico II
IT-NA0369,Biblioteca dell'Istituto di anestesia rianimazione e terapia intensiva,Biblioteca dell'Istituto di anestesia rianimazione e terapia intensiva
IT-NA0373,Biblioteca del STA,Biblioteca del STA
IT-NA0376,Biblioteca dipartimento di scienze odontostomatologiche e maxillo facciali sezione di odontoiatria,Biblioteca dipartimento di scienze odontostomatologiche e maxillo facciali sezione di odontoiatria
IT-NA0380,"Biblioteca centrale della Facoltà di scienze matematiche, fisiche e naturali dell'Università degli studi di Napoli Federico II","Biblioteca centrale della Facoltà di scienze matematiche, fisiche e naturali dell'Università degli studi di Napoli Federico II"
IT-NA0381,Biblioteca del Dipartimento di ingegneria economico-gestionale dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di ingegneria economico-gestionale dell'Università degli studi di Napoli Federico II
IT-NA0387,Biblioteca dipartimento di scienze oftamologiche,Biblioteca dipartimento di scienze oftamologiche
IT-NA0389,Biblioteca dell'Orto botanico della Facoltà di scienze matematiche fisiche e naturali dell'Università degli studi di Napoli Federico II,Biblioteca dell'Orto botanico della Facoltà di scienze matematiche fisiche e naturali dell'Università degli studi di Napoli Federico II
IT-NA0399,Biblioteca del Dipartimento di storia dell'architettura e restauro dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di storia dell'architettura e restauro dell'Università degli studi di Napoli Federico II
IT-NA0399,Biblioteca del DSAR dell'Università degli studi di Napoli Federico II,Biblioteca del DSAR dell'Università degli studi di Napoli Federico II
IT-NA0400,Biblioteca del Dipartimento di scienza della produzione animale dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di scienza della produzione animale dell'Università degli studi di Napoli Federico II
IT-NA0405,"Biblioteca interdipartimentale di Ingegneria elettrica, Ingegneria elettronica e delle telecomunicazioni, Informatica e sistemistica dell'Università degli studi di Napoli Federico II","Biblioteca interdipartimentale di Ingegneria elettrica, Ingegneria elettronica e delle telecomunicazioni, Informatica e sistemistica dell'Università degli studi di Napoli Federico II"
IT-NA0406,Biblioteca del DINE dell'Università degli studi di Napoli Federico II,Biblioteca del DINE dell'Università degli studi di Napoli Federico II
IT-NA0406,Biblioteca del Dipartimento di ingegneria edile dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di ingegneria edile dell'Università degli studi di Napoli Federico II
IT-NA0408,Biblioteca del Dipartimento di entomologia e zoologia agraria dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di entomologia e zoologia agraria dell'Università degli studi di Napoli Federico II
IT-NA0410,Biblioteca del Dipartimento di Diritto romano e Storia della scienza romanistica dell'Università degli Studi di Napoli Federico II,Biblioteca del Dipartimento di Diritto romano e Storia della scienza romanistica dell'Università degli Studi di Napoli Federico II
IT-NA0412,Biblioteca del Dipartimento di diritto comune patrimoniale dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di diritto comune patrimoniale dell'Università degli studi di Napoli Federico II
IT-NA0413,Biblioteca del DCBAA dell'Università degli studi di Napoli Federico II,Biblioteca del DCBAA dell'Università degli studi di Napoli Federico II
IT-NA0420,Biblioteca dell'Istituto di geografia della Facoltà di lettere e filosofia dell'Università degli studi di Napoli Federico II,Biblioteca dell'Istituto di geografia della Facoltà di lettere e filosofia dell'Università degli studi di Napoli Federico II
IT-NA0422,Biblioteca del DPGI dell'Universtà degli studi di Napoli Federico II,Biblioteca del DPGI dell'Universtà degli studi di Napoli Federico II
IT-NA0423,Biblioteca del Dipartimento di analisi e progettazione strutturale dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di analisi e progettazione strutturale dell'Università degli studi di Napoli Federico II
IT-NA0423,Biblioteca di Ingegneria Strutturale dell'Università degli studi di Napoli Federico II,Biblioteca di Ingegneria Strutturale dell'Università degli studi di Napoli Federico II
IT-NA0425,Biblioteca del Dipartimento di analisi dei processi economico sociali linguistici produttivi e territoriali. Sezione lingue straniere dell'Università degli studi di Napoli Federico II,Biblioteca del Dipartimento di analisi dei processi economico sociali linguistici produttivi e territoriali. Sezione lingue straniere dell'Università degli studi di Napoli Federico II
IT-NA0426,Biblioteca del Dipartimento di analisi dei processi economico sociali linguistici produttivi e territoriali. Sezione di scienze geografiche dell'Università degli studi di Napoli Federico II ,Biblioteca del Dipartimento di analisi dei processi economico sociali linguistici produttivi e territoriali. Sezione di scienze geografiche dell'Università degli studi di Napoli Federico II
IT-NA0430,Biblioteca della Facoltà di Farmacia,Biblioteca della Facoltà di Farmacia
IT-NA0431,"Biblioteca ""Rafael Alberti"" dell'Instituto Cervantes","Biblioteca ""Rafael Alberti"" dell'Instituto Cervantes"
IT-NA0431,Biblioteca del Instituto Cervantes,Biblioteca del Instituto Cervantes
IT-NA0433,Biblioteca dell'IDIMER,Biblioteca dell'IDIMER
IT-NA0436,Biblioteca del Centro di Informazione Statistica- Cis Istat,Biblioteca del Centro di Informazione Statistica- Cis Istat
IT-NA0436,CENTRO D'INFORMAZIONE STATISTICA ISTAT_RTH_SEDE DELLA CAMPANIA,CENTRO D'INFORMAZIONE STATISTICA ISTAT_RTH_SEDE DELLA CAMPANIA
IT-NA0436,CENTRO D’INFORMAZIONE STATISTICA ISTAT_RTH_SEDE DELLA CAMPANIA,CENTRO D’INFORMAZIONE STATISTICA ISTAT_RTH_SEDE DELLA CAMPANIA
IT-NA0437,Biblioteca del Centro internazionale di studi numismatici,Biblioteca del Centro internazionale di studi numismatici
IT-NA0439,Mediateca del Centro etnografico campano,Mediateca del Centro etnografico campano
IT-NA0440,Biblioteca del Centro di ricerche storiche d'Ambra,Biblioteca del Centro di ricerche storiche d'Ambra
