isil,previous_name_original,previous_name_normalized
IT-AN0358,Biblioteca comunale Renaldini,Biblioteca comunale Renaldini
IT-AO0001,"Biblioteca del Seminario Maggiore, Bibliothèque du Grand Séminaire","Biblioteca del Seminario Maggiore, Bibliothèque du Grand Séminaire"
IT-AO0001,Biblioteca diocesana,Biblioteca diocesana
IT-AO0001,Bibliothèque du Grand Séminaire,Bibliothèque du Grand Séminaire
IT-AO0008,Biblioteca comunale,Biblioteca comunale
IT-AO0009,Biblioteca comunale,Biblioteca comunale
IT-AO0010,Biblioteca comunale,Biblioteca comunale
IT-AO0012,Biblioteca comunale,Biblioteca comunale
IT-AO0014,Biblioteca comunale,Biblioteca comunale
IT-AO0017,Biblioteca Comprensoriale ChÃ¢tillon,Biblioteca Comprensoriale ChÃ¢tillon
IT-AO0017,Biblioteca Comprensoriale ChÃ¢tillon,Biblioteca Comprensoriale ChÃ¢tillon
IT-AO0017,Biblioteca comprensoriale Mgr. Duc,Biblioteca comprensoriale Mgr. Duc
IT-AO0018,Biblioteca comunale,Biblioteca comunale
IT-AO0021,Biblioteca intercomunale Abbé Henry - succursale di Doues,Biblioteca intercomunale Abbé Henry - succursale di Doues
IT-AO0022,Biblioteca comunale,Biblioteca comunale
IT-AO0024,Biblioteca comunale,Biblioteca comunale
IT-AO0024,Biblioteca comunale di HÃ´ne,Biblioteca comunale di HÃ´ne
IT-AO0032,Biblioteca comunale,Biblioteca comunale
IT-AO0042,Biblioteca comprensoriale,Biblioteca comprensoriale
IT-AO0043,Biblioteca comunale,Biblioteca comunale
IT-AO0043,Biblioteca Viale Europa,Biblioteca Viale Europa
IT-AO0044,Biblioteca Quartiere Dora,Biblioteca Quartiere Dora
IT-AO0050,Biblioteca specializzata Walser,Biblioteca specializzata Walser
IT-AO0053,BibliothÃ¨que Du Centre D'Ã?tudes FrancoprovenÃales RenÃ© Willien,BibliothÃ¨que Du Centre D'Ã?tudes FrancoprovenÃales RenÃ© Willien
IT-AO0053,BibliothÃ¨que du Centre d'Ã©tudes francoprovenÃales RenÃ© Willien,BibliothÃ¨que du Centre d'Ã©tudes francoprovenÃales RenÃ© Willien
IT-AO0055,Biblioteca comunale,Biblioteca comunale
IT-AO0058,Biblioteca per degenti dell'Ospedale di Aosta,Biblioteca per degenti dell'Ospedale di Aosta
IT-AO0059,Biblioteca intercomunale Abbé Henry - sede centrale,Biblioteca intercomunale Abbé Henry - sede centrale
IT-AO0063,Biblioteca comprensoriale,Biblioteca comprensoriale
IT-AO0064,Bibliothèque régionale,Bibliothèque régionale
IT-AO0065,Biblioteca dell'Istituto storico della Resistenza in Valle d'Aosta,Biblioteca dell'Istituto storico della Resistenza in Valle d'Aosta
IT-AO0066,Biblioteca del CAI. Sezione di Aosta,Biblioteca del CAI. Sezione di Aosta
IT-AO0067,Biblioteca comunale,Biblioteca comunale
IT-AO0068,Biblioteca dell'IRRE. Valle d'Aosta,Biblioteca dell'IRRE. Valle d'Aosta
IT-AO0074,Biblioteca intercomunale Abbé Henry - succursale di Allein,Biblioteca intercomunale Abbé Henry - succursale di Allein
IT-AO0078,Biblioteca intercomunale Abbé Henry - succursale di Ollomont,Biblioteca intercomunale Abbé Henry - succursale di Ollomont
IT-AO0079,Biblioteca comunale,Biblioteca comunale
IT-AO0080,Biblioteca comunale,Biblioteca comunale
IT-AO0082,Biblioteca comunale,Biblioteca comunale
IT-AO0152,Biblioteca Comunale,Biblioteca Comunale
IT-AO0157,Biblioteca tematica Maison de la Montagne,Biblioteca tematica Maison de la Montagne
IT-AO0161,Biblioteca Scuola Militare Alpina,Biblioteca Scuola Militare Alpina
IT-AO0161,Biblioteca Scuola Militare Centrale di Alpinismo,Biblioteca Scuola Militare Centrale di Alpinismo
IT-AP0014,Biblioteca del Seminario arcivescovile,Biblioteca del Seminario arcivescovile
IT-AP0014,Biblioteca del Seminario Arcivescovile di Fermo,Biblioteca del Seminario Arcivescovile di Fermo
IT-AP0015,Biblioteca del Centro comunitario Gesu' risorto,Biblioteca del Centro comunitario Gesu' risorto
IT-AP0015,Centro documentazione comunita' di Capodarco,Centro documentazione comunita' di Capodarco
IT-AP0023,Biblioteca del Centro sociale di educazione permanente,Biblioteca del Centro sociale di educazione permanente
IT-AP0025,Biblioteca comunale,Biblioteca comunale
IT-AP0033,Biblioteca del Seminario vescovile,Biblioteca del Seminario vescovile
IT-AP0054,Biblioteca comunale,Biblioteca comunale
IT-AP0059,Biblioteca Monticelli,Biblioteca Monticelli
IT-AP0072,Biblioteca di Architettura dell'Università degli studi di Camerino. Sede di Ascoli Piceno,Biblioteca di Architettura dell'Università degli studi di Camerino. Sede di Ascoli Piceno
IT-AP0073,Biblioteca comunale,Biblioteca comunale
IT-AP0075,Biblioteca Comunale Centro Giovarti,Biblioteca Comunale Centro Giovarti
IT-AP0075,Biblioteca comunale. Sezione di Centobuchi,Biblioteca comunale. Sezione di Centobuchi
IT-AP0079,Biblioteca dell'Istituto provinciale per la storia del movimento di liberazione nelle Marche,Biblioteca dell'Istituto provinciale per la storia del movimento di liberazione nelle Marche
IT-AP0079,Biblioteca di storia contemporanea Ugo Toria,Biblioteca di storia contemporanea Ugo Toria
IT-AP0080,"Biblioteca comunale ""Alfio Ortenzi""","Biblioteca comunale ""Alfio Ortenzi"""
IT-AP0083,Biblioteca Moderna delle Suore Pie Operaie Concezioniste,Biblioteca Moderna delle Suore Pie Operaie Concezioniste
IT-AP0093,Biblioteca dell'Archivio di Stato di Ascoli Piceno. Sezione di Fermo,Biblioteca dell'Archivio di Stato di Ascoli Piceno. Sezione di Fermo
IT-AP0110,Archivio comunale,Archivio comunale
IT-AP0114,Biblioteca del Corso di laurea in storia e conservazione dei beni culturali dell'Università degli studi di Macerata - Fermo,Biblioteca del Corso di laurea in storia e conservazione dei beni culturali dell'Università degli studi di Macerata - Fermo
IT-AP0114,Biblioteca del Dipartimento di Beni Culturali dell'Università di Macerata,Biblioteca del Dipartimento di Beni Culturali dell'Università di Macerata
IT-AP0119,Biblioteca ragazzi di Villa Vitali,Biblioteca ragazzi di Villa Vitali
IT-AP0120,Biblioteca Università Conservatorio Machinery,Biblioteca Università Conservatorio Machinery
IT-AP0120,BUCM,BUCM
IT-AP0122,Biblioteca dell'Istituto del movimento di liberazione nelle Marche. Alto Piceno,Biblioteca dell'Istituto del movimento di liberazione nelle Marche. Alto Piceno
IT-AP0133,Biblioteca civica Spinucci,Biblioteca civica Spinucci
IT-AP0134,"Biblioteca ""F. Ascenzi - A. Ciccarese"" della Fondazione Hispano Latina","Biblioteca ""F. Ascenzi - A. Ciccarese"" della Fondazione Hispano Latina"
