isil,sbn_code,acnp_code,cei_code,cmbs_code,rism_code,census_year,updated_date,name_original,name_normalized,address_original,address_normalized,hamlet,postal_code,municipality_name,istat_code,province_name,province_istat_code,province_abbrev,region,latitude_original,longitude_original,restricted_access,disabled_access,administrative_type,functional_type,owning_entity,source_status,latitude,longitude,coordinate_quality_flag
IT-UD0416,,,,,,2023,2023-12-22,Biblioteca comunale,Biblioteca comunale,Via Monte Sart 12,Via Monte Sart 12,,33010,Resia,030092,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.360772,13.354485,False,Parzialmente accessibile,Comune,Pubblica,Comune di Resia,,46.360772,13.354485,valid_world_range
IT-UD0417,,,,,,2018,2021-12-13,Centro di documentazione e biblioteca del Museo Etnografico,Centro di documentazione e biblioteca del Museo Etnografico,Via Bamberga 52,Via Bamberga 52,,33010,Malborghetto Valbruna,030054,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.50699969999999,13.4388369,False,,Unione di Comuni,Specializzata,Comune di Malborghetto Valbruna,,46.50699969999999,13.4388369,valid_world_range
IT-UD0418,,,,,,2023,2023-12-22,Biblioteca comunale di Resiutta,Biblioteca comunale di Resiutta,Via Roma 32,Via Roma 32,,33010,Resiutta,030093,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.3931092,13.2183907,False,Accessibile,Comune,Pubblica,Comune di Resiutta,,46.3931092,13.2183907,valid_world_range
IT-UD0419,,,,,,2023,2023-12-22,Biblioteca 'Angelo R. Humouda',Biblioteca 'Angelo R. Humouda',Via Giuseppe Bini 50,Via Giuseppe Bini 50,,33013,Gemona del Friuli,030043,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.2757885,13.1413283,False,Non accessibile,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,,46.2757885,13.1413283,valid_world_range
IT-UD0420,FVG53,,,,,2023,2023-12-22,Biblioteca della Scrittura,Biblioteca della Scrittura,Via Udine 2,Via Udine 2,,33038,San Daniele del Friuli,030099,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.1561822,13.0093751,False,Accessibile,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Di conservazione,Scriptorium Foroiuliense – Scuola Italiana Amanuensi,,46.1561822,13.0093751,valid_world_range
IT-UD0421,,,,,,,2025-05-16,Biblioteca Florio,Biblioteca Florio,Via Palladio 8,Via Palladio 8,,33100,Udine,030129,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.0659774,13.2324998,False,Accessibile,Universita' statali,Istituto di insegnamento superiore,Università degli studi di Udine,,46.0659774,13.2324998,valid_world_range
IT-UD0422,,,,,,2023,2023-12-22,Biblioteca comunale,Biblioteca comunale,Piazzale dei Caduti 5,Piazzale dei Caduti 5,,33020,Cavazzo Carnico,030021,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.3675484,13.040584,False,Accessibile,Comune,Pubblica,Comune di Cavazzo Carnico,,46.3675484,13.040584,valid_world_range
IT-UD0423,,,,,,2023,2025-11-20,Biblioteca comunale,Biblioteca comunale,Strada di Cras 1,Strada di Cras 1,,33040,Drenchia,030034,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.1682017,13.6095455,False,Accessibile,Comune,Pubblica,Comune di Drenchia,,46.1682017,13.6095455,valid_world_range
IT-UD0424,,,,,,2023,2025-11-20,Biblioteca comunale,Biblioteca comunale,"Via Brolo, 39","Via Brolo, 39",,00039,Prepotto,030085,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.0456059,13.4796089,False,Accessibile,Comune,Pubblica,Comune di Prepotto,Temporaneamente chiusa,46.0456059,13.4796089,valid_world_range
IT-UD0425,,,,,,2023,2024-12-20,Biblioteca comunale,Biblioteca comunale,Via Nazionale 92,Via Nazionale 92,,33046,Pulfero,030086,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.172988849604465,13.485967888037091,False,Accessibile,Comune,Pubblica,Comune di Pulfero,,46.172988849604465,13.485967888037091,valid_world_range
IT-UD0426,,,,,,2023,2024-12-20,Biblioteca comunale di San Leonardo per i ragazzi,Biblioteca comunale di San Leonardo per i ragazzi,Via Merso di Sopra 1,Via Merso di Sopra 1,,33040,San Leonardo,030102,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.1211653,13.5225512,False,Accessibile,Comune,Pubblica,Comune di San Leonardo,,46.1211653,13.5225512,valid_world_range
IT-UD0427,,,,,,2023,2023-12-22,Biblioteca comunale,Biblioteca comunale,Via Roma 1,Via Roma 1,,33020,Ravascletto,030088,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.5257759,12.9217689,False,Non accessibile,Comune,Pubblica,Comune di Ravascletto,,46.5257759,12.9217689,valid_world_range
IT-UD0428,,,,,,2023,2024-01-12,Biblioteca comunale,Biblioteca comunale,"Via Naulan, 3","Via Naulan, 3",,33029,Raveo,030089,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.4343458,12.8712122,False,Parzialmente accessibile,Comune,Pubblica,Comuna di Raveo,,46.4343458,12.8712122,valid_world_range
IT-UD0429,,,,,,,2024-06-28,Biblioteca scolastica dell'Istituto omnicomprensivo di Tarvisio,Biblioteca scolastica dell'Istituto omnicomprensivo di Tarvisio,"Via Vittorio Veneto, 62","Via Vittorio Veneto, 62",,33018,Tarvisio,030117,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.5041674,13.5767143,True,Parzialmente accessibile,Presidenza del consiglio dei ministri e ministeri,Scolastica,Ministero dell'istruzione dell'università e della ricerca. Istituto omnicomprensivo di Tarvisio,,46.5041674,13.5767143,valid_world_range
