library,isil,libraryName,municipality,municipalityName,region,statusCode,population2019,population2025,changePercent
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-TE0064,IT-TE0064,Biblioteca storica medico-scientifica Marco Levi Bianchini,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/067041,Teramo,ABRUZZO,TEMPORANEAMENTE_CHIUSA,54443,51600,-5.221975276895101
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0626,IT-NA0626,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063013,Camposano,CAMPANIA,TEMPORANEAMENTE_CHIUSA,5278,5003,-5.210306934444866
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NU0069,IT-NU0069,Biblioteca comunale di Seulo,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/111082,Seulo,SARDEGNA,TEMPORANEAMENTE_CHIUSA,807,765,-5.204460966542751
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-AV0049,IT-AV0049,Biblioteca comunale Michelangelo Petruzziello,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/064053,Montefalcione,CAMPANIA,TEMPORANEAMENTE_CHIUSA,3234,3066,-5.194805194805195
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-ME0131,IT-ME0131,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/083080,San Pier Niceto,SICILIA,TEMPORANEAMENTE_CHIUSA,2690,2551,-5.16728624535316
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BN0038,IT-BN0038,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/062053,Ponte,CAMPANIA,TEMPORANEAMENTE_CHIUSA,2520,2391,-5.119047619047619
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-AG0044,IT-AG0044,Biblioteca comunale Santo Spirito. Sezione esterna di Montaperto,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/084001,Agrigento,SICILIA,TEMPORANEAMENTE_CHIUSA,58174,55252,-5.022862447141335
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BN0072,IT-BN0072,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/062006,Arpaise,CAMPANIA,TEMPORANEAMENTE_CHIUSA,758,720,-5.013192612137203
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CL0056,IT-CL0056,Biblioteca della Soprintendenza per i Beni Culturali ed Ambientali di Caltanissetta,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/085004,Caltanissetta,SICILIA,TEMPORANEAMENTE_CHIUSA,61252,58182,-5.012081238163652
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-SA0070,IT-SA0070,Biblioteca comunale Sebastiano D'Amato,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/065129,Sant'Arsenio,CAMPANIA,TEMPORANEAMENTE_CHIUSA,2780,2641,-5
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-UD0136,IT-UD0136,Biblioteca del Centro antichità alto adriatiche,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/030004,Aquileia,FRIULI-VENEZIA GIULIA,TEMPORANEAMENTE_CHIUSA,3287,3124,-4.95892911469425
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PE0044,IT-PE0044,Ufficio Attività Culturali e Biblioteca Torre De' Passeri,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/068043,Torre de' Passeri,ABRUZZO,TEMPORANEAMENTE_CHIUSA,2990,2842,-4.949832775919733
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-SV0020,IT-SV0020,Biblioteca civica,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/009026,Cosseria,LIGURIA,TEMPORANEAMENTE_CHIUSA,1072,1019,-4.9440298507462686
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-AQ0123,IT-AQ0123,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/066108,Vittorito,ABRUZZO,TEMPORANEAMENTE_CHIUSA,850,808,-4.941176470588235
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CS0107,IT-CS0107,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/078117,Sangineto,CALABRIA,TEMPORANEAMENTE_CHIUSA,1261,1200,-4.8374306106264875
